model,nominal_coverage,empirical_coverage
baseline_empirical_climatology,0.5,0.5208467741935484
baseline_empirical_climatology,0.8,0.7779222136883427
baseline_empirical_climatology,0.9,0.8626399556238266
baseline_empirical_climatology,0.95,0.8970135688684076
baseline_empirical_climatology,0.98,0.9334455538487796
benchmark_official,0.5,0.0025388291517323774
benchmark_official,0.8,0.0025388291517323774
benchmark_official,0.9,0.0025388291517323774
benchmark_official,0.95,0.0025388291517323774
benchmark_official,0.98,0.0025388291517323774
lightgbm,0.5,0.4349831455879843
lightgbm,0.8,0.7291348779655231
lightgbm,0.9,0.8257354070660522
lightgbm,0.95,0.888562894691927
lightgbm,0.98,0.9373007339136372
lightgbm__ens_baseline,0.5,0.4752730841440519
lightgbm__ens_baseline,0.8,0.7750932326335552
lightgbm__ens_baseline,0.9,0.8580732633555215
lightgbm__ens_baseline,0.95,0.9015902884451272
lightgbm__ens_baseline,0.98,0.9456123058542414
lightgbm__residual,0.5,0.4944864738009899
lightgbm__residual,0.8,0.7495769329237071
lightgbm__residual,0.9,0.8427191073562041
lightgbm__residual,0.95,0.8970231694828469
lightgbm__residual,0.98,0.9524044205495819
linear_qr,0.5,0.4336804488820618
linear_qr,0.8,0.6916542925413893
linear_qr,0.9,0.7934570745861068
linear_qr,0.95,0.8660904164533196
linear_qr,0.98,0.9360178784775559
linear_qr__ens_baseline,0.5,0.4796772060078512
linear_qr__ens_baseline,0.8,0.7587941628264209
linear_qr__ens_baseline,0.9,0.8538645673323093
linear_qr__ens_baseline,0.95,0.9077165471923537
linear_qr__ens_baseline,0.98,0.9517754736303122
linear_qr__residual,0.5,0.4442688598736986
linear_qr__residual,0.8,0.6985473203618364
linear_qr__residual,0.9,0.8087107441542926
linear_qr__residual,0.95,0.8813547533708824
linear_qr__residual,0.98,0.9430884109916368
xgboost,0.5,0.4832964243044888
xgboost,0.8,0.7436719150025601
xgboost,0.9,0.8499295954941116
xgboost,0.95,0.9068068356374808
xgboost,0.98,0.9479872845195426
xgboost__ens_baseline,0.5,0.5050503498890595
xgboost__ens_baseline,0.8,0.7815649001536098
xgboost__ens_baseline,0.9,0.869696833930705
xgboost__ens_baseline,0.95,0.9121240826079535
xgboost__ens_baseline,0.98,0.9512408260795358
xgboost__residual,0.5,0.5296255760368663
xgboost__residual,0.8,0.7808055982249531
xgboost__residual,0.9,0.8651009131251066
xgboost__residual,0.95,0.9148448967400581
xgboost__residual,0.98,0.9560765488991296
