model,mean,std,count
lightgbm__ens_baseline,8.117786173132933,3.90926842801381,15
xgboost__ens_baseline,8.138841479450695,3.8261416153849805,15
xgboost__residual,8.15246939427892,3.570339132383817,15
lightgbm__residual,8.22257969326272,3.8063756936613777,15
linear_qr__ens_baseline,8.242063493872216,4.095948256703109,15
baseline_empirical_climatology,8.327253947992943,4.550470924563103,15
lightgbm,8.4045814687986,3.333373153017184,15
linear_qr__residual,8.430906861905083,3.5090982268052406,15
xgboost,8.4373388220273,3.1916402495001517,15
linear_qr,8.536925259461126,3.632898941283363,15
benchmark_official,15.143282322068613,7.5956631444208496,15
